,Date,AQI
0,2015-01-29,209.0
1,2015-01-30,328.0
6,2015-02-04,294.0
7,2015-02-05,149.0
8,2015-02-06,190.0
9,2015-02-07,247.0
10,2015-02-08,379.0
11,2015-02-09,341.0
12,2015-02-10,256.0
13,2015-02-11,388.0
14,2015-02-12,288.0
17,2015-02-15,475.0
19,2015-02-17,479.0
21,2015-02-19,427.0
26,2015-02-24,411.0
27,2015-02-25,292.0
28,2015-03-02,189.0
29,2015-03-03,408.0
30,2015-03-04,383.0
32,2015-03-08,190.0
33,2015-03-09,233.0
34,2015-03-10,297.0
35,2015-03-11,330.0
36,2015-03-12,252.0
37,2015-03-13,244.0
38,2015-03-14,234.0
39,2015-03-15,219.0
40,2015-03-16,118.0
41,2015-03-17,231.0
42,2015-03-18,286.0
51,2015-03-27,437.0
52,2015-03-28,321.0
53,2015-03-29,372.0
54,2015-03-30,339.0
55,2015-03-31,339.0
56,2015-04-01,324.0
57,2015-04-02,222.0
58,2015-04-03,169.0
59,2015-04-04,220.0
60,2015-04-06,303.0
61,2015-04-07,314.0
62,2015-04-08,378.0
63,2015-04-09,415.0
64,2015-04-11,126.0
65,2015-04-12,175.0
66,2015-04-13,226.0
67,2015-04-14,244.0
68,2015-04-15,315.0
71,2015-04-18,285.0
72,2015-04-19,321.0
73,2015-04-20,358.0
74,2015-04-21,357.0
75,2015-04-22,189.0
76,2015-04-24,214.0
77,2015-04-25,253.0
78,2015-04-26,239.0
79,2015-04-29,300.0
80,2015-04-30,317.0
81,2015-05-01,240.0
82,2015-05-02,344.0
84,2015-05-04,308.0
85,2015-05-05,227.0
86,2015-05-06,120.0
87,2015-05-07,158.0
88,2015-05-08,177.0
89,2015-05-09,201.0
90,2015-05-10,211.0
91,2015-05-11,221.0
92,2015-05-12,233.0
93,2015-05-13,481.0
94,2015-05-14,352.0
95,2015-05-15,327.0
97,2015-05-17,411.0
98,2015-05-18,212.0
99,2015-05-19,280.0
100,2015-05-20,162.0
102,2015-05-23,128.0
103,2015-05-24,129.0
104,2015-05-25,152.0
105,2015-05-26,176.0
106,2015-05-27,167.0
107,2015-05-28,106.0
108,2015-05-29,231.0
109,2015-05-30,327.0
110,2015-05-31,174.0
111,2015-06-01,185.0
112,2015-06-02,179.0
113,2015-06-03,211.0
114,2015-06-04,192.0
115,2015-06-05,310.0
116,2015-06-06,223.0
117,2015-06-07,192.0
118,2015-06-08,191.0
119,2015-06-09,184.0
120,2015-06-10,220.0
121,2015-06-11,215.0
122,2015-06-12,226.0
123,2015-06-13,251.0
124,2015-06-14,216.0
125,2015-06-15,237.0
126,2015-06-16,198.0
127,2015-06-17,195.0
128,2015-06-18,187.0
129,2015-06-19,181.0
130,2015-06-20,179.0
131,2015-06-21,188.0
132,2015-06-22,190.0
133,2015-06-23,185.0
134,2015-06-24,189.0
135,2015-06-25,196.0
136,2015-06-26,201.0
137,2015-06-27,231.0
138,2015-06-28,196.0
139,2015-06-29,220.0
140,2015-06-30,244.0
141,2015-07-01,223.0
142,2015-07-02,230.0
143,2015-07-03,243.0
144,2015-07-04,215.0
145,2015-07-05,199.0
146,2015-07-06,200.0
147,2015-07-07,226.0
148,2015-07-08,241.0
149,2015-07-09,222.0
150,2015-07-10,223.0
151,2015-07-11,248.0
152,2015-07-12,300.0
153,2015-07-13,232.0
154,2015-07-14,330.0
155,2015-07-15,223.0
156,2015-07-16,105.0
157,2015-07-17,101.0
158,2015-07-18,93.0
159,2015-07-19,67.0
160,2015-07-20,60.0
161,2015-07-22,90.0
162,2015-07-23,78.0
163,2015-07-24,48.0
164,2015-07-25,53.0
165,2015-07-26,91.0
166,2015-07-27,70.0
167,2015-07-28,157.0
168,2015-07-29,158.0
169,2015-07-30,169.0
170,2015-07-31,174.0
171,2015-08-01,173.0
172,2015-08-02,172.0
173,2015-08-03,190.0
174,2015-08-04,171.0
175,2015-08-05,168.0
176,2015-08-06,172.0
177,2015-08-07,173.0
178,2015-08-08,175.0
179,2015-08-09,179.0
180,2015-08-10,174.0
181,2015-08-11,176.0
182,2015-08-12,179.0
183,2015-08-13,175.0
184,2015-08-14,177.0
185,2015-08-15,175.0
186,2015-08-16,174.0
187,2015-08-17,179.0
188,2015-08-18,177.0
189,2015-08-19,180.0
190,2015-08-20,274.0
191,2015-08-21,310.0
192,2015-08-22,303.0
193,2015-08-23,302.0
194,2015-08-24,302.0
195,2015-08-25,302.0
196,2015-08-26,302.0
197,2015-08-27,302.0
198,2015-08-28,302.0
199,2015-08-29,301.0
200,2015-08-30,302.0
201,2015-08-31,302.0
202,2015-09-01,302.0
203,2015-09-02,302.0
204,2015-09-03,301.0
205,2015-09-04,302.0
206,2015-09-05,301.0
207,2015-09-06,302.0
208,2015-09-07,301.0
209,2015-09-08,301.0
210,2015-09-10,226.0
211,2015-09-11,276.0
212,2015-09-12,209.0
213,2015-09-13,179.0
214,2015-09-14,197.0
215,2015-09-15,229.0
216,2015-09-16,170.0
217,2015-09-17,164.0
218,2015-09-18,195.0
219,2015-09-19,220.0
220,2015-09-22,217.0
221,2015-09-23,254.0
222,2015-09-24,241.0
223,2015-09-25,244.0
224,2015-09-26,243.0
225,2015-09-27,244.0
226,2015-09-28,327.0
227,2015-09-29,390.0
228,2015-09-30,231.0
229,2015-10-01,396.0
231,2015-10-03,466.0
232,2015-10-04,230.0
233,2015-10-05,309.0
235,2015-10-07,397.0
238,2015-10-10,355.0
239,2015-10-11,227.0
240,2015-10-12,316.0
242,2015-10-14,370.0
244,2015-10-16,393.0
247,2015-10-19,471.0
249,2015-10-22,213.0
250,2015-10-23,297.0
254,2015-10-28,270.0
255,2015-10-29,188.0
256,2015-10-30,114.0
257,2015-10-31,143.0
260,2015-11-06,354.0
261,2015-11-07,381.0
262,2015-11-08,355.0
263,2016-06-28,272.0
264,2016-06-29,253.0
265,2016-06-30,256.0
266,2016-07-01,257.0
267,2016-07-02,213.0
268,2016-07-03,218.0
269,2016-07-04,214.0
270,2016-07-05,207.0
271,2016-07-06,169.0
273,2016-07-15,72.0
274,2016-07-16,91.0
275,2016-07-17,124.0
276,2016-07-18,145.0
277,2016-07-19,499.0
279,2016-07-21,114.0
280,2016-07-22,148.0
281,2016-07-23,99.0
282,2016-07-24,117.0
283,2016-07-25,275.0
284,2016-07-26,183.0
285,2016-07-27,336.0
286,2016-07-28,468.0
293,2016-08-04,494.0
294,2016-08-05,234.0
295,2016-08-08,327.0
296,2016-08-09,257.0
297,2016-08-10,300.0
298,2016-08-11,309.0
299,2016-08-12,316.0
300,2016-08-13,296.0
