,Date,AQI
0,2019-09-18,89.0
1,2019-09-19,77.0
2,2019-09-20,76.0
3,2019-09-21,82.0
4,2019-09-22,90.0
5,2019-09-23,82.0
6,2019-09-24,80.0
7,2019-09-25,81.0
8,2019-09-26,77.0
9,2019-09-27,69.0
10,2019-09-28,52.0
11,2019-09-29,49.0
12,2019-09-30,56.0
13,2019-10-01,68.0
14,2019-10-02,75.0
15,2019-10-03,97.0
16,2019-10-04,112.0
17,2019-10-05,117.0
18,2019-10-06,101.0
19,2019-10-07,109.0
20,2019-10-08,143.0
21,2019-10-09,123.0
22,2019-10-10,118.0
23,2019-10-11,141.0
24,2019-10-12,140.0
25,2019-10-13,168.0
26,2019-10-14,159.0
27,2019-10-15,141.0
28,2019-10-16,148.0
29,2019-10-17,155.0
30,2019-10-18,159.0
31,2019-10-19,146.0
32,2019-10-20,144.0
34,2019-10-22,209.0
35,2019-10-23,135.0
36,2019-10-24,116.0
37,2019-10-25,181.0
38,2019-10-26,128.0
39,2019-10-27,99.0
41,2019-10-29,85.0
42,2019-10-30,108.0
43,2019-10-31,117.0
44,2019-11-01,179.0
45,2019-11-02,153.0
46,2019-11-03,97.0
47,2019-11-04,129.0
48,2019-11-05,146.0
49,2019-11-06,146.0
50,2019-11-07,186.0
51,2019-11-08,97.0
52,2019-11-09,167.0
55,2019-11-12,193.0
56,2019-11-13,193.0
57,2019-11-14,190.0
61,2019-11-18,180.0
62,2019-11-19,174.0
63,2019-11-20,170.0
69,2019-11-26,204.0
77,2019-12-04,140.0
78,2019-12-05,135.0
79,2019-12-06,120.0
80,2019-12-07,189.0
86,2019-12-13,121.0
87,2019-12-14,119.0
88,2019-12-15,120.0
89,2019-12-16,137.0
90,2019-12-17,180.0
92,2019-12-19,153.0
93,2019-12-20,197.0
94,2019-12-21,190.0
95,2019-12-22,147.0
96,2019-12-23,171.0
97,2019-12-24,117.0
100,2019-12-27,130.0
101,2019-12-28,99.0
102,2019-12-29,106.0
103,2019-12-30,119.0
104,2019-12-31,187.0
107,2020-01-03,199.0
