,Date,AQI
1,2017-12-09,291.0
2,2017-12-10,189.0
6,2017-12-16,267.0
7,2017-12-17,191.0
8,2017-12-18,138.0
9,2017-12-19,155.0
11,2018-02-03,282.0
12,2018-02-04,285.0
13,2018-02-05,267.0
16,2018-02-08,300.0
18,2018-02-10,179.0
19,2018-02-11,160.0
20,2018-02-12,145.0
21,2018-02-13,125.0
22,2018-02-14,124.0
23,2018-02-15,127.0
24,2018-02-16,133.0
25,2018-02-17,191.0
26,2018-02-18,196.0
29,2018-02-21,214.0
30,2018-02-22,176.0
31,2018-02-23,265.0
32,2018-02-24,300.0
33,2018-02-25,282.0
34,2018-02-26,184.0
35,2018-02-27,175.0
36,2018-02-28,129.0
37,2018-03-01,194.0
38,2018-03-02,249.0
39,2018-03-03,298.0
42,2018-03-06,208.0
43,2018-03-07,241.0
44,2018-03-08,238.0
45,2018-03-09,135.0
52,2018-03-16,245.0
53,2018-03-17,149.0
54,2018-03-18,217.0
55,2018-03-19,195.0
56,2018-03-20,237.0
58,2018-03-22,243.0
59,2018-03-23,246.0
60,2018-03-24,247.0
61,2018-03-25,232.0
62,2018-03-26,272.0
63,2018-03-27,296.0
67,2018-03-31,284.0
68,2018-04-01,210.0
69,2018-04-02,125.0
70,2018-04-03,133.0
71,2018-04-04,180.0
72,2018-04-05,124.0
73,2018-04-06,123.0
74,2018-04-07,121.0
75,2018-04-08,120.0
76,2018-04-09,136.0
77,2018-04-10,118.0
78,2018-04-11,122.0
79,2018-04-12,131.0
80,2018-04-13,119.0
81,2018-04-14,165.0
82,2018-04-15,137.0
83,2018-04-16,128.0
84,2018-04-17,162.0
85,2018-04-18,120.0
86,2018-04-19,160.0
87,2018-04-20,226.0
88,2018-04-21,120.0
89,2018-04-22,162.0
90,2018-04-23,152.0
91,2018-04-24,131.0
92,2018-04-25,149.0
93,2018-04-26,235.0
94,2018-04-27,146.0
95,2018-04-28,125.0
96,2018-04-29,116.0
97,2018-05-01,118.0
98,2018-05-02,117.0
99,2018-05-03,115.0
100,2018-05-04,119.0
101,2018-05-05,124.0
102,2018-05-06,134.0
103,2018-05-07,139.0
104,2018-05-08,182.0
105,2018-05-09,141.0
106,2018-05-10,155.0
107,2018-05-11,132.0
108,2018-05-12,118.0
109,2018-05-13,119.0
110,2018-05-14,116.0
111,2018-05-15,116.0
112,2018-05-16,116.0
113,2018-05-17,116.0
114,2018-05-18,125.0
115,2018-05-19,114.0
116,2018-05-20,130.0
117,2018-05-21,113.0
118,2018-05-22,118.0
119,2018-05-23,154.0
120,2018-05-24,113.0
121,2018-05-25,113.0
122,2018-05-26,113.0
123,2018-05-27,112.0
124,2018-05-28,114.0
125,2018-05-29,114.0
126,2018-05-30,112.0
127,2018-05-31,113.0
128,2018-06-05,107.0
129,2018-06-06,105.0
130,2018-06-07,106.0
131,2018-06-08,106.0
132,2018-06-09,108.0
133,2018-06-10,111.0
134,2018-06-11,108.0
135,2018-06-12,107.0
136,2018-06-13,107.0
137,2018-06-14,109.0
138,2018-06-15,158.0
139,2018-06-16,217.0
140,2018-06-17,167.0
141,2018-06-18,126.0
142,2018-06-19,108.0
143,2018-06-20,107.0
144,2018-06-21,110.0
145,2018-06-22,109.0
146,2018-06-23,108.0
147,2018-06-24,109.0
148,2018-06-25,108.0
149,2018-06-26,107.0
150,2018-06-27,108.0
151,2018-06-28,108.0
152,2018-06-29,107.0
153,2018-06-30,109.0
154,2018-07-01,111.0
155,2018-07-02,106.0
156,2018-07-03,111.0
157,2018-07-04,108.0
158,2018-07-05,103.0
159,2018-07-06,103.0
160,2018-07-07,104.0
161,2018-07-08,103.0
162,2018-07-09,102.0
163,2018-07-10,104.0
