,Date,AQI
0,2017-02-28,52.0
1,2017-03-01,31.0
2,2017-03-02,106.0
3,2017-03-03,98.0
4,2017-03-04,61.0
5,2017-03-05,62.0
6,2017-03-06,78.0
7,2017-03-07,72.0
8,2017-03-08,71.0
9,2017-03-09,59.0
10,2017-03-10,73.0
11,2017-03-11,56.0
12,2017-03-12,55.0
13,2017-03-13,69.0
14,2017-03-14,80.0
15,2017-03-15,89.0
16,2017-03-16,79.0
17,2017-03-17,262.0
18,2017-03-18,184.0
19,2017-03-19,138.0
20,2017-03-20,138.0
21,2017-03-21,100.0
22,2017-03-22,89.0
23,2017-03-23,84.0
24,2017-03-24,72.0
25,2017-03-25,90.0
26,2017-03-26,84.0
27,2017-03-27,74.0
28,2017-03-28,96.0
29,2017-03-29,76.0
30,2017-03-30,71.0
31,2017-03-31,91.0
32,2017-04-01,45.0
33,2017-04-02,30.0
34,2017-04-03,72.0
35,2017-04-04,76.0
36,2017-04-05,60.0
37,2017-04-06,59.0
38,2017-04-09,44.0
39,2017-04-10,57.0
40,2017-04-11,66.0
41,2017-04-12,63.0
42,2017-04-13,85.0
43,2017-04-14,61.0
44,2017-04-15,49.0
45,2017-04-16,53.0
46,2017-04-17,82.0
47,2017-04-18,170.0
48,2017-04-19,109.0
49,2017-04-20,65.0
50,2017-04-25,42.0
51,2017-04-26,46.0
52,2017-04-27,43.0
53,2017-04-28,43.0
54,2017-04-29,45.0
55,2017-04-30,43.0
56,2017-05-01,41.0
57,2017-05-02,97.0
58,2017-05-03,102.0
59,2017-05-04,100.0
60,2017-05-05,121.0
61,2017-05-06,117.0
62,2017-05-07,123.0
63,2017-05-08,110.0
64,2017-05-09,122.0
66,2017-05-12,473.0
67,2017-05-13,138.0
68,2017-05-14,116.0
69,2017-05-15,114.0
70,2017-05-16,102.0
71,2017-05-17,80.0
72,2017-05-18,87.0
73,2017-05-19,93.0
74,2017-05-20,98.0
75,2017-05-21,89.0
76,2017-05-22,56.0
77,2017-05-23,56.0
78,2017-05-24,79.0
79,2017-05-25,270.0
80,2017-05-26,48.0
81,2017-05-27,35.0
82,2017-05-28,34.0
83,2017-05-29,26.0
84,2017-05-30,44.0
85,2017-05-31,67.0
86,2017-06-01,62.0
87,2017-06-03,107.0
88,2017-06-04,108.0
89,2017-06-05,125.0
90,2017-06-06,197.0
91,2017-06-07,143.0
92,2017-06-08,64.0
93,2017-06-09,85.0
94,2017-06-10,83.0
95,2017-06-11,70.0
96,2017-06-12,65.0
97,2017-06-14,75.0
98,2017-06-15,88.0
99,2017-06-16,73.0
100,2017-06-17,97.0
101,2017-06-18,80.0
102,2017-06-19,103.0
103,2017-06-20,81.0
104,2017-06-21,76.0
105,2017-06-22,76.0
106,2017-06-23,86.0
107,2017-06-24,100.0
108,2017-06-25,104.0
109,2017-06-26,103.0
110,2017-06-27,100.0
111,2017-06-28,81.0
112,2017-06-29,74.0
113,2017-06-30,90.0
114,2017-07-01,92.0
115,2017-07-02,94.0
116,2017-07-03,91.0
117,2017-07-04,91.0
118,2017-07-05,101.0
119,2017-07-06,88.0
120,2017-07-07,89.0
121,2017-07-08,104.0
122,2017-07-11,87.0
123,2017-07-12,97.0
124,2017-07-13,93.0
125,2017-07-14,100.0
126,2017-07-15,96.0
127,2017-07-16,100.0
128,2017-07-17,97.0
129,2017-07-18,99.0
130,2017-07-19,99.0
131,2017-07-20,110.0
132,2017-07-21,100.0
133,2017-07-22,99.0
134,2017-07-23,101.0
135,2017-07-24,101.0
136,2017-07-25,102.0
137,2017-07-26,102.0
138,2017-07-30,158.0
139,2017-07-31,84.0
140,2017-08-01,110.0
141,2017-08-02,104.0
142,2017-08-11,141.0
143,2017-08-12,177.0
144,2017-08-13,215.0
145,2017-08-14,139.0
146,2017-08-15,92.0
147,2017-08-16,120.0
148,2017-08-17,146.0
149,2017-08-18,176.0
150,2017-08-19,156.0
151,2017-08-20,85.0
152,2017-08-21,94.0
153,2017-08-22,74.0
154,2017-08-23,82.0
155,2017-08-24,101.0
156,2017-08-25,106.0
157,2017-08-26,69.0
158,2017-08-27,82.0
159,2017-08-28,94.0
160,2017-08-29,67.0
161,2017-08-30,61.0
162,2017-08-31,80.0
163,2017-09-01,70.0
164,2017-09-02,62.0
165,2017-09-03,77.0
166,2017-09-04,92.0
167,2017-09-05,90.0
168,2017-09-06,117.0
169,2017-09-07,118.0
170,2017-09-08,119.0
171,2017-09-09,131.0
172,2017-09-10,142.0
173,2017-09-11,97.0
174,2017-09-12,125.0
175,2017-09-13,159.0
176,2017-09-14,161.0
177,2017-09-15,154.0
178,2017-09-16,136.0
179,2017-09-17,137.0
180,2017-09-18,173.0
181,2017-09-19,202.0
182,2017-09-20,189.0
183,2017-09-21,196.0
184,2017-09-22,198.0
185,2017-09-23,154.0
186,2017-09-24,108.0
187,2017-09-25,170.0
188,2017-09-26,225.0
189,2017-09-27,216.0
190,2017-09-28,199.0
191,2017-09-29,233.0
192,2017-09-30,271.0
193,2017-10-01,232.0
194,2017-10-20,463.0
195,2017-10-21,320.0
196,2017-10-22,338.0
197,2017-10-23,395.0
198,2017-10-24,229.0
199,2017-10-25,239.0
200,2017-10-26,318.0
201,2017-10-27,308.0
202,2017-10-28,338.0
203,2017-10-29,356.0
204,2017-10-30,341.0
205,2017-10-31,271.0
206,2017-11-01,304.0
207,2017-11-02,314.0
208,2017-11-03,317.0
209,2017-11-04,318.0
210,2017-11-05,319.0
211,2017-11-06,321.0
212,2017-11-07,252.0
213,2017-11-08,235.0
214,2017-11-09,248.0
215,2017-11-10,295.0
216,2017-11-11,317.0
217,2017-11-12,328.0
218,2017-11-13,311.0
219,2017-11-14,234.0
220,2017-11-15,128.0
221,2017-11-16,131.0
222,2017-11-17,262.0
223,2017-11-18,200.0
224,2017-11-19,206.0
225,2017-11-20,314.0
226,2017-11-21,307.0
227,2017-11-22,318.0
228,2017-11-23,288.0
229,2017-11-24,302.0
230,2017-11-25,322.0
231,2017-11-26,316.0
232,2017-11-27,313.0
233,2017-11-28,306.0
234,2017-11-29,317.0
235,2017-11-30,323.0
236,2017-12-01,324.0
237,2017-12-02,296.0
238,2017-12-03,309.0
239,2017-12-04,266.0
240,2017-12-05,227.0
241,2017-12-07,185.0
242,2017-12-08,298.0
243,2017-12-09,304.0
244,2017-12-10,277.0
245,2017-12-11,162.0
246,2017-12-12,127.0
247,2017-12-13,116.0
248,2017-12-14,126.0
249,2017-12-15,113.0
250,2017-12-16,114.0
251,2017-12-17,133.0
252,2017-12-18,142.0
253,2017-12-19,126.0
254,2017-12-20,230.0
255,2017-12-21,227.0
256,2017-12-22,143.0
257,2017-12-23,122.0
258,2017-12-24,197.0
259,2017-12-25,235.0
260,2017-12-26,315.0
261,2017-12-27,335.0
262,2017-12-28,298.0
263,2017-12-29,233.0
264,2017-12-30,283.0
265,2017-12-31,321.0
266,2018-01-01,331.0
267,2018-01-02,331.0
268,2018-01-03,232.0
269,2018-01-04,212.0
270,2018-01-13,237.0
271,2018-01-14,310.0
272,2018-01-15,170.0
273,2018-01-16,152.0
274,2018-01-17,144.0
275,2018-01-18,165.0
276,2018-01-19,126.0
277,2018-01-20,129.0
278,2018-01-21,149.0
279,2018-01-22,125.0
280,2018-01-23,123.0
281,2018-01-24,115.0
282,2018-01-25,127.0
283,2018-01-26,118.0
284,2018-01-27,132.0
285,2018-01-28,124.0
286,2018-01-29,127.0
287,2018-01-30,142.0
288,2018-01-31,150.0
289,2018-02-01,159.0
290,2018-02-02,149.0
291,2018-02-03,168.0
292,2018-02-04,165.0
293,2018-02-05,152.0
294,2018-02-06,130.0
295,2018-02-07,130.0
296,2018-02-08,141.0
297,2018-02-09,138.0
298,2018-02-10,145.0
299,2018-02-11,147.0
300,2018-02-12,123.0
301,2018-02-13,66.0
302,2018-02-14,58.0
303,2018-02-15,77.0
304,2018-02-16,129.0
305,2018-02-17,137.0
306,2018-02-18,133.0
307,2018-02-19,139.0
308,2018-02-20,162.0
309,2018-02-21,154.0
310,2018-02-22,124.0
311,2018-02-23,123.0
312,2018-02-24,114.0
313,2018-02-25,85.0
314,2018-02-27,119.0
315,2018-02-28,133.0
316,2018-03-01,132.0
317,2018-03-02,79.0
318,2018-03-03,73.0
319,2018-03-04,64.0
320,2018-03-05,69.0
321,2018-03-06,73.0
322,2018-03-07,133.0
323,2018-03-08,132.0
324,2018-03-09,112.0
325,2018-03-10,91.0
326,2018-03-11,110.0
327,2018-03-12,128.0
328,2018-03-13,140.0
